private_predicate,wikidata_property,wikidata_label,wikidata_uri,status
basedOn,P144,based on,http://www.wikidata.org/prop/direct/P144,aligned
bornIn,P19,place of birth,http://www.wikidata.org/prop/direct/P19,aligned
diedIn,P20,place of death,http://www.wikidata.org/prop/direct/P20,aligned
directedBy,P57,director,http://www.wikidata.org/prop/direct/P57,aligned
hasAssociation,,,,no match
honoredBy,P166,award received,http://www.wikidata.org/prop/direct/P166,aligned
includes,P527,has part,http://www.wikidata.org/prop/direct/P527,aligned
involvedIn,,,,no match
lostAt,,,,no match
lostTo,,,,no match
relatedTo,,,,no match
requestedAt,,,,no match
starring,P161,cast member,http://www.wikidata.org/prop/direct/P161,aligned
tookPlaceIn,,,,no match
wonAward,P166,award received,http://www.wikidata.org/prop/direct/P166,aligned
